metric,value
total_trades,243.0
winning_trades,53.0
losing_trades,190.0
win_rate_pct,21.810699588477366
gross_pnl,-596.0600000000052
total_cost,4498.488676166015
net_pnl,-5094.5486761660195
expectancy_per_trade,-20.965220889572098
average_winner,18.738021025865947
average_loser,-32.040335739667974
payoff_ratio,0.5848259886573874
gross_profit,2198.3999999999933
gross_loss,-2794.4599999999987
profit_factor,0.7866993980947998
average_cost_per_trade,18.512299078872488
cost_vs_absolute_gross_pnl_pct,90.09843408719696
average_holding_minutes,49.17695473251029
average_r_multiple,-0.14266444372752018
