symbol,entry_time,entry,stop,target,quantity,risk_per_share,risk_pct_of_entry,planned_risk,gross_pnl,net_pnl,r_multiple,reason
RELIANCE,2026-08-17 12:30:00+05:30,1303.0,1302.9,1303.1999999999998,7,0.09999999999990905,0.007674597083646128,0.6999999999993634,-0.6999999999993634,-19.514130792533365,-1.0,STOP_TARGET_AMBIGUITY_STOP
HDFCBANK,2026-08-14 14:05:00+05:30,727.75,727.6,728.05,13,0.14999999999997726,0.02061147372036788,1.9499999999997044,-1.9499999999997044,-21.463545212368707,-1.0,STOP_TARGET_AMBIGUITY_STOP
ITC,2026-08-13 11:45:00+05:30,277.9,277.8,278.0999999999999,35,0.0999999999999659,0.03598416696652246,3.4999999999988063,-3.4999999999988063,-23.559968947408805,-1.0,STOP
HDFCBANK,2026-08-28 12:40:00+05:30,715.8,715.5,716.3999999999999,13,0.2999999999999545,0.04191114836545886,3.899999999999409,-3.899999999999409,-23.090861257541405,-1.0,STOP
SBIN,2026-08-05 10:25:00+05:30,1050.5,1050.0,1051.5,9,0.5,0.047596382674916705,4.5,-4.5,-23.99774203431,-1.0,STOP
ICICIBANK,2026-08-21 11:10:00+05:30,1418.2,1417.5,1419.6,7,0.7000000000000455,0.0493583415597268,4.900000000000318,-4.900000000000318,-25.37279038228232,-1.0,STOP
BHARTIARTL,2026-08-20 11:10:00+05:30,1942.8,1941.8,1944.8,5,1.0,0.051472102120650606,5.0,-5.0,-25.03247165714,-1.0,STOP
TCS,2026-08-19 12:55:00+05:30,2279.1,2277.9,2281.4999999999995,4,1.199999999999818,0.05265236277477153,4.799999999999272,-4.799999999999272,-23.599962077039272,-1.0,STOP
RELIANCE,2026-08-14 13:05:00+05:30,1306.0,1305.3,1307.4,7,0.7000000000000455,0.05359877488514896,4.900000000000318,9.800000000000637,-9.069434669483364,2.0,TARGET
ICICIBANK,2026-08-03 11:00:00+05:30,1446.2,1445.4,1447.8,6,0.7999999999999545,0.05531738348775789,4.799999999999727,9.599999999999454,-8.310410273520546,2.0,TARGET
BHARTIARTL,2026-08-06 11:25:00+05:30,1968.6,1967.5,1970.8,5,1.099999999999909,0.055877273189063756,5.499999999999545,-5.499999999999545,-25.798004005989544,-1.0,STOP
M&M,2026-08-10 11:30:00+05:30,3528.3,3526.3,3532.3,2,2.0,0.05668452229118839,4.0,-4.0,-18.551890184056,-1.0,STOP
AXISBANK,2026-08-14 13:50:00+05:30,1216.6,1215.9,1217.9999999999995,8,0.6999999999998181,0.05753739930953626,5.599999999998545,-5.599999999998545,-25.670567722798545,-1.0,STOP
INFY,2026-08-07 12:15:00+05:30,1175.0,1174.3,1176.4,8,0.7000000000000455,0.05957446808511026,5.600000000000364,-5.600000000000364,-24.98406310379237,-1.0,STOP
TCS,2026-08-28 13:15:00+05:30,2344.0,2342.6,2346.8,4,1.400000000000091,0.05972696245734176,5.600000000000364,-5.600000000000364,-24.934555559152365,-1.0,STOP
HDFCBANK,2026-08-13 12:40:00+05:30,728.5,728.05,729.4000000000001,13,0.4500000000000455,0.06177076183940226,5.850000000000591,-5.850000000000591,-25.379206164377592,-1.0,STOP
BAJFINANCE,2026-08-10 12:15:00+05:30,1087.5,1086.8,1088.9,9,0.7000000000000455,0.06436781609195821,6.300000000000409,-6.300000000000409,-26.48260468326641,-1.0,STOP_TARGET_AMBIGUITY_STOP
BHARTIARTL,2026-08-07 12:30:00+05:30,1952.8,1951.5,1955.4,5,1.2999999999999545,0.06657107742728156,6.499999999999773,12.999999999999543,-7.156157704380455,1.9999999999999998,TARGET
LT,2026-08-20 11:20:00+05:30,4054.5,4051.8,4059.9,2,2.699999999999818,0.06659267480576689,5.399999999999636,10.799999999999272,-5.939688842784726,2.0,TARGET
RELIANCE,2026-08-13 13:10:00+05:30,1315.9,1315.0,1317.7000000000005,7,0.900000000000091,0.06839425488259677,6.300000000000637,-6.300000000000637,-25.29401104903464,-1.0,STOP
M&M,2026-08-07 13:55:00+05:30,3493.9,3491.5,3498.7000000000003,2,2.400000000000091,0.06869114742837777,4.800000000000182,-4.800000000000182,-19.209055430344183,-1.0,STOP
LT,2026-08-10 14:05:00+05:30,4068.3,4065.5,4073.900000000001,2,2.800000000000182,0.06882481626232534,5.600000000000364,-5.600000000000364,-22.37790344136836,-1.0,STOP
BAJFINANCE,2026-08-05 11:10:00+05:30,1160.6,1159.8,1162.1999999999998,8,0.7999999999999545,0.06892986386351496,6.399999999999636,-6.399999999999636,-25.54551376377563,-1.0,STOP_TARGET_AMBIGUITY_STOP
INFY,2026-08-04 14:10:00+05:30,1160.1,1159.3,1161.6999999999998,8,0.7999999999999545,0.06895957245064689,6.399999999999636,-6.399999999999636,-25.53726250633563,-1.0,STOP
M&M,2026-08-18 11:10:00+05:30,3422.4,3420.0,3427.2000000000003,2,2.400000000000091,0.0701262272089788,4.800000000000182,-4.800000000000182,-18.91407297686418,-1.0,STOP
AXISBANK,2026-08-31 11:35:00+05:30,1261.3,1260.4,1263.0999999999997,7,0.8999999999998636,0.0713549512407725,6.299999999999045,12.59999999999809,-5.627175996345905,2.0,TARGET
TCS,2026-08-19 13:10:00+05:30,2281.7,2280.0,2285.0999999999995,4,1.699999999999818,0.0745058509006363,6.799999999999272,-6.799999999999272,-25.619132532023272,-1.0,STOP
HCLTECH,2026-08-03 12:15:00+05:30,1354.3,1353.2,1356.4999999999998,7,1.099999999999909,0.08122277191168198,7.699999999999363,-7.699999999999363,-27.24689757894936,-1.0,STOP
LT,2026-08-06 11:20:00+05:30,4066.4,4062.9,4073.4,2,3.5,0.08607121778477277,7.0,-7.0,-23.768466776748,-1.0,STOP
LT,2026-08-14 11:50:00+05:30,4048.5,4045.0,4055.5,2,3.5,0.08645177226133136,7.0,-7.0,-23.69461802266,-1.0,STOP
ITC,2026-08-06 12:40:00+05:30,285.25,285.0,285.75,35,0.25,0.0876424189307625,8.75,-8.75,-29.334635553825,-1.0,STOP
KOTAKBANK,2026-08-05 11:05:00+05:30,396.9,396.55,397.5999999999999,25,0.3499999999999659,0.08818342151674625,8.749999999999147,-8.749999999999147,-29.208288174274145,-1.0,STOP
ITC,2026-08-25 11:45:00+05:30,269.25,269.0,269.75,37,0.25,0.09285051067780872,9.25,18.5,-2.071388390739997,2.0,TARGET
M&M,2026-08-31 11:55:00+05:30,3325.1,3322.0,3331.3,3,3.099999999999909,0.09323027878860513,9.299999999999727,18.59999999999945,-1.998422258856543,1.9999999999999996,TARGET
SBIN,2026-08-20 13:30:00+05:30,1049.9,1048.9,1051.9,9,1.0,0.09524716639679968,9.0,-9.0,-28.481466504456,-1.0,STOP
HINDUNILVR,2026-08-12 14:00:00+05:30,2058.0,2056.0,2062.0,4,2.0,0.09718172983479105,8.0,-8.0,-24.97195655408,-1.0,STOP
AXISBANK,2026-08-13 12:05:00+05:30,1221.1,1219.9,1223.4999999999995,8,1.199999999999818,0.09827204979115702,9.599999999998545,19.19999999999709,-0.9731359378269032,2.0,TARGET
TITAN,2026-08-28 14:00:00+05:30,5166.2,5161.1,5176.399999999999,1,5.099999999999454,0.09871859393750639,5.099999999999454,-5.099999999999454,-15.751090370013454,-1.0,STOP
RELIANCE,2026-08-14 13:15:00+05:30,1307.2,1305.9,1309.8,7,1.2999999999999545,0.09944920440636126,9.099999999999682,18.199999999999363,-0.6963501304206332,2.0,TARGET
ADANIENT,2026-08-12 14:30:00+05:30,2966.0,2963.0,2972.0,3,3.0,0.10114632501685772,9.0,18.0,-0.375467504519996,2.0,TARGET
SUNPHARMA,2026-08-03 11:55:00+05:30,1965.0,1963.0,1969.0,5,2.0,0.10178117048346055,10.0,20.0,-0.2899792306000002,2.0,TARGET
