symbol,trades,wins,win_rate_pct,gross_pnl,total_cost,net_pnl,avg_net_pnl,avg_r_multiple
SBIN,14,1,7.142857142857142,-198.90000000000327,276.138321711462,-475.0383217114653,-33.931308693676094,-0.7857142857142857
AXISBANK,15,1,6.666666666666667,-116.60000000000286,289.528542042628,-406.12854204263084,-27.075236136175388,-0.2629964806435343
BHARTIARTL,11,0,0.0,-132.99999999999955,219.8194963452,-352.8194963451995,-32.074499667745414,-0.7272727272727273
LT,20,6,30.0,6.800000000000189,334.970445285728,-328.1704452857278,-16.40852226428639,0.04148671096345573
TCS,15,4,26.666666666666668,-15.599999999996726,289.412376396616,-305.01237639661275,-20.33415842644085,-0.14659047420242138
HCLTECH,12,3,25.0,-67.90000000000032,231.548290523746,-299.4482905237463,-24.954024210312195,-0.20588235294117876
M&M,20,5,25.0,1.7999999999974499,296.888279385768,-295.08827938577053,-14.754413969288526,-0.10000000000000002
WIPRO,15,4,26.666666666666668,19.140000000001805,307.0231847412472,-287.8831847412454,-19.192212316083026,-0.025360330699444707
BAJFINANCE,12,3,25.0,-40.60000000000127,242.128064732492,-282.7280647324933,-23.560672061041107,-0.25
HDFCBANK,11,1,9.090909090909092,-68.25000000000001,213.803149343641,-282.053149343641,-25.641195394876455,-0.5429292929292998
SUNPHARMA,11,2,18.181818181818183,-62.999999999999545,219.02682437352001,-282.02682437351956,-25.638802215774504,-0.04848484848484575
ITC,11,2,18.181818181818183,-30.49999999999926,224.47127852945601,-254.97127852945525,-23.179207139041385,-0.09090909090909095
ADANIENT,14,3,21.428571428571427,12.900000000000546,261.326065115778,-248.42606511577742,-17.744718936841245,-0.03637566137566078
RELIANCE,12,3,25.0,16.799999999999045,227.076246467364,-210.27624646736496,-17.52302053894708,0.25000000000000006
TITAN,13,3,23.076923076923077,-44.00000000000181,165.910000633468,-209.9100006334698,-16.146923125651522,-0.2810314685314675
INFY,8,1,12.5,-56.0,152.802177034336,-208.802177034336,-26.100272129292,-0.4782608695652193
HINDUNILVR,11,4,36.36363636363637,28.999999999997726,190.559379570848,-161.55937957085027,-14.687216324622751,0.24147727272726505
ICICIBANK,9,3,33.33333333333333,57.200000000001864,174.219628522312,-117.01962852231014,-13.00218094692335,0.48174048174048917
KOTAKBANK,9,4,44.44444444444444,94.65000000000077,181.836925410405,-87.18692541040423,-9.68743615671158,0.3333333333333333
