symbol,trades,wins,losses,win_rate_pct,gross_pnl,net_pnl,avg_net_pnl,profit_factor,max_drawdown,max_drawdown_pct,rejected_signals,return_pct
RELIANCE,12,3,9,25.0,16.799999999999045,-210.27624646736496,-17.52302053894708,0.10500728316923547,-184.2252014901751,-0.3684504029803502,2,-0.4205524929347299
HDFCBANK,11,1,10,9.090909090909092,-68.25,-282.053149343641,-25.641195394876455,0.05231760662527468,-243.46352214449144,-0.4869270442889828,5,-0.564106298687282
ICICIBANK,9,3,6,33.33333333333333,57.200000000001864,-117.01962852231016,-13.002180946923351,0.28277470359008305,-121.70584548695479,-0.24341169097390958,8,-0.2340392570446203
SBIN,14,1,13,7.142857142857142,-198.90000000000327,-475.0383217114653,-33.931308693676094,0.0833537764381933,-452.20454641575634,-0.9044090928315127,10,-0.9500766434229306
AXISBANK,15,1,14,6.666666666666667,-116.60000000000286,-406.1285420426309,-27.075236136175395,0.09082081856490787,-369.81305180018535,-0.7396261036003707,15,-0.8122570840852618
KOTAKBANK,9,4,5,44.44444444444444,94.65000000000077,-87.18692541040423,-9.68743615671158,0.5775047532674913,-101.03567255980306,-0.20207134511960614,10,-0.17437385082080847
INFY,8,1,7,12.5,-56.0,-208.802177034336,-26.100272129292,0.12344770085669399,-212.67120176716708,-0.42534240353433417,4,-0.417604354068672
TCS,15,4,11,26.666666666666668,-15.599999999996726,-305.01237639661264,-20.334158426440844,0.18567562235588306,-343.91607482006657,-0.6878321496401332,6,-0.6100247527932253
WIPRO,15,4,11,26.666666666666668,19.140000000001805,-287.8831847412454,-19.192212316083026,0.23994579390557733,-337.5821572432178,-0.6751643144864357,8,-0.5757663694824907
HCLTECH,12,3,9,25.0,-67.90000000000032,-299.4482905237463,-24.954024210312195,0.13318976956870143,-279.80737282089103,-0.559614745641782,13,-0.5988965810474927
LT,20,6,14,30.0,6.800000000000182,-328.1704452857278,-16.40852226428639,0.223368855918601,-346.8896373037933,-0.6937792746075866,10,-0.6563408905714556
BHARTIARTL,11,0,11,0.0,-132.99999999999955,-352.8194963451996,-32.074499667745414,0.0,-327.021492339205,-0.6540429846784099,6,-0.7056389926903992
ITC,11,2,9,18.181818181818183,-30.49999999999926,-254.97127852945525,-23.179207139041385,0.04885541423315575,-255.22255808251793,-0.5104451161650359,4,-0.5099425570589105
HINDUNILVR,11,4,7,36.36363636363637,28.999999999997726,-161.55937957085024,-14.68721632462275,0.22765961397325357,-135.52070289110998,-0.27104140578221997,9,-0.32311875914170046
MARUTI,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.0
M&M,20,5,15,25.0,1.7999999999974534,-295.0882793857705,-14.754413969288525,0.1566693943098558,-281.30455942306435,-0.5626091188461287,7,-0.590176558771541
SUNPHARMA,11,2,9,18.181818181818183,-62.999999999999545,-282.02682437351956,-25.638802215774504,0.09222256117393038,-302.92519165819976,-0.6058503833163995,13,-0.5640536487470391
TITAN,13,3,10,23.076923076923077,-44.00000000000182,-209.91000063346982,-16.146923125651526,0.2664508098098887,-157.10431769613206,-0.3142086353922641,10,-0.4198200012669397
ADANIENT,14,3,11,21.428571428571427,12.900000000000546,-248.42606511577742,-17.744718936841245,0.3197391588309307,-254.58770502337575,-0.5091754100467515,5,-0.49685213023155483
BAJFINANCE,12,3,9,25.0,-40.60000000000127,-282.7280647324933,-23.560672061041107,0.11394459713188772,-267.0580964976689,-0.5341161929953377,6,-0.5654561294649866
