symbol,timestamp,reason
LT,2026-08-04 12:00:00+05:30,MAX_TRADES_PER_DAY
LT,2026-08-04 12:10:00+05:30,MAX_TRADES_PER_DAY
LT,2026-08-04 12:20:00+05:30,MAX_TRADES_PER_DAY
LT,2026-08-04 12:25:00+05:30,MAX_TRADES_PER_DAY
WIPRO,2026-08-04 13:05:00+05:30,MAX_TRADES_PER_DAY
WIPRO,2026-08-04 13:20:00+05:30,MAX_TRADES_PER_DAY
TCS,2026-08-04 13:30:00+05:30,MAX_TRADES_PER_DAY
TCS,2026-08-04 13:55:00+05:30,MAX_TRADES_PER_DAY
ICICIBANK,2026-08-06 13:00:00+05:30,MAX_TRADES_PER_DAY
AXISBANK,2026-08-06 13:15:00+05:30,MAX_TRADES_PER_DAY
HCLTECH,2026-08-06 14:20:00+05:30,MAX_TRADES_PER_DAY
BAJFINANCE,2026-08-06 15:05:00+05:30,MAX_TRADES_PER_DAY
RELIANCE,2026-08-06 15:10:00+05:30,INVALID_POSITION_SIZE
HINDUNILVR,2026-08-07 12:05:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-07 12:10:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-07 12:15:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-07 12:25:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-07 13:00:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-07 13:05:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-07 13:15:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-07 13:20:00+05:30,DAILY_LOSS_LIMIT
WIPRO,2026-08-07 13:25:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-07 13:30:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-07 13:50:00+05:30,DAILY_LOSS_LIMIT
WIPRO,2026-08-07 14:15:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-07 14:40:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-07 14:50:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-07 14:55:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-07 15:00:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-07 15:05:00+05:30,DAILY_LOSS_LIMIT
BHARTIARTL,2026-08-07 15:10:00+05:30,INVALID_POSITION_SIZE
HCLTECH,2026-08-10 09:15:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-10 09:25:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-10 09:30:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-10 09:35:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-10 09:50:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-10 10:15:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-10 11:15:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-10 11:25:00+05:30,DAILY_LOSS_LIMIT
M&M,2026-08-10 11:35:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-10 11:50:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-10 12:10:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-10 12:15:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-10 12:25:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-10 12:30:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-10 12:45:00+05:30,DAILY_LOSS_LIMIT
HINDUNILVR,2026-08-10 12:50:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-10 13:30:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-10 13:45:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-10 13:50:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-10 13:55:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-10 14:00:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-10 14:05:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-10 14:10:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-10 14:25:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-10 14:30:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-10 14:40:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-10 14:55:00+05:30,DAILY_LOSS_LIMIT
AXISBANK,2026-08-10 15:00:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-10 15:10:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-11 09:15:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-11 11:30:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-11 11:35:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-11 11:40:00+05:30,DAILY_LOSS_LIMIT
INFY,2026-08-11 11:45:00+05:30,DAILY_LOSS_LIMIT
MARUTI,2026-08-11 11:50:00+05:30,INVALID_POSITION_SIZE
INFY,2026-08-11 12:05:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-11 12:10:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-11 12:40:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-11 13:00:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-11 13:55:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-11 14:00:00+05:30,DAILY_LOSS_LIMIT
TITAN,2026-08-11 14:05:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-11 14:20:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-11 15:00:00+05:30,DAILY_LOSS_LIMIT
ICICIBANK,2026-08-11 15:05:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-11 15:10:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-12 11:05:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-12 12:55:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-12 13:00:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-12 13:25:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-12 14:30:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-12 14:40:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-12 14:45:00+05:30,DAILY_LOSS_LIMIT
ADANIENT,2026-08-12 14:50:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-12 15:00:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-12 15:10:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-13 10:40:00+05:30,DAILY_LOSS_LIMIT
SBIN,2026-08-13 10:55:00+05:30,DAILY_LOSS_LIMIT
HCLTECH,2026-08-13 11:45:00+05:30,DAILY_LOSS_LIMIT
KOTAKBANK,2026-08-13 12:10:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-13 12:20:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-13 12:30:00+05:30,DAILY_LOSS_LIMIT
HDFCBANK,2026-08-13 12:35:00+05:30,DAILY_LOSS_LIMIT
SUNPHARMA,2026-08-13 12:40:00+05:30,DAILY_LOSS_LIMIT
WIPRO,2026-08-13 12:50:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-13 13:00:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-13 13:05:00+05:30,DAILY_LOSS_LIMIT
TCS,2026-08-13 13:10:00+05:30,DAILY_LOSS_LIMIT
RELIANCE,2026-08-13 13:35:00+05:30,DAILY_LOSS_LIMIT
BAJFINANCE,2026-08-13 13:40:00+05:30,DAILY_LOSS_LIMIT
LT,2026-08-13 13:45:00+05:30,DAILY_LOSS_LIMIT
