symbol,signal_time,entry_time,entry,stop,target,quantity,exit_time,exit,gross_pnl,total_cost,net_pnl,brokerage,stt,exchange_transaction_charges,sebi_charges,stamp_duty,gst,ipft,slippage,reason,risk_per_share,planned_risk,position_value,mae,mfe,mae_r,mfe_r
ICICIBANK,2026-08-03 10:55:00+05:30,2026-08-03 11:00:00+05:30,1446.2,1444.5,1449.6000000000001,6,2026-08-03 11:40:00+05:30,1444.5,-10.200000000000273,17.887810411356,-28.087810411356273,5.20326,2.16675,0.53246694,0.0173442,0.26031600000000005,1.035555927156,1.7344200000000002e-05,8.6721,STOP,1.7000000000000455,10.200000000000273,8677.2,-2.2000000000000455,2.2999999999999545,-1.2941176470588156,1.3529411764705253
ADANIENT,2026-08-03 11:45:00+05:30,2026-08-03 11:50:00+05:30,3066.7,3052.0,3096.0999999999995,3,2026-08-03 15:00:00+05:30,3052.0,-44.099999999999454,18.927762336797997,-63.02776233679745,5.506829999999999,2.289,0.56353227,0.018356099999999997,0.27600299999999994,1.0959726106979997,1.83561e-05,9.17805,STOP,14.699999999999818,44.099999999999454,9200.099999999999,-17.09999999999991,10.300000000000182,-1.1632653061224572,0.7006802721088646
AXISBANK,2026-08-03 15:05:00+05:30,2026-08-03 15:10:00+05:30,1254.6,1252.7,1258.3999999999996,7,2026-08-03 15:10:00+05:30,1253.0,-11.199999999999363,18.103264511975993,-29.303264511975357,5.26596,2.19275,0.5388832399999999,0.017553199999999998,0.263466,1.0480345187759998,1.7553199999999997e-05,8.776599999999998,SESSION_CLOSE,1.8999999999998636,13.299999999999045,8782.199999999999,-1.599999999999909,0.5,-0.8421052631579073,0.263157894736861
BHARTIARTL,2026-08-04 09:20:00+05:30,2026-08-04 09:25:00+05:30,1961.8,1957.5,1970.3999999999999,5,2026-08-04 09:30:00+05:30,1957.5,-21.499999999999773,20.20960580287,-41.709605802869774,5.87895,2.446875,0.60161255,0.0195965,0.29427000000000003,1.1700321563699998,1.95965e-05,9.79825,STOP,4.2999999999999545,21.499999999999773,9809.0,-5.7999999999999545,0.7999999999999545,-1.3488372093023293,0.18604651162789837
ICICIBANK,2026-08-04 09:40:00+05:30,2026-08-04 09:45:00+05:30,1452.3,1444.9,1467.0999999999997,6,2026-08-04 11:15:00+05:30,1444.9,-44.39999999999918,17.924273291375997,-62.32427329137518,5.21496,2.1673500000000003,0.53366424,0.0173832,0.261414,1.037884468176,1.7383200000000003e-05,8.6916,STOP,7.399999999999864,44.39999999999918,8713.8,-7.5,1.1000000000001364,-1.0135135135135322,0.14864864864866983
LT,2026-08-04 11:25:00+05:30,2026-08-04 11:30:00+05:30,4035.1,4026.7,4051.9,2,2026-08-04 11:45:00+05:30,4026.7,-16.800000000000182,16.628148807448,-33.42814880744818,4.837079999999999,2.01335,0.49499452,0.0161236,0.242106,0.9626785638479999,1.61236e-05,8.0618,STOP,8.400000000000091,16.800000000000182,8070.2,-14.799999999999727,4.400000000000091,-1.7619047619047103,0.5238095238095289
AXISBANK,2026-08-05 09:35:00+05:30,2026-08-05 09:40:00+05:30,1254.8,1252.0,1260.3999999999999,7,2026-08-05 10:25:00+05:30,1252.0,-19.59999999999968,18.096564631768,-37.696564631767686,5.264279999999999,2.191,0.53871132,0.017547599999999997,0.263508,1.047700164168,1.75476e-05,8.7738,STOP,2.7999999999999545,19.59999999999968,8783.6,-6.099999999999909,2.7999999999999545,-2.1785714285714315,1.0
TITAN,2026-08-05 10:45:00+05:30,2026-08-05 10:50:00+05:30,4904.9,4896.4,4921.9,2,2026-08-05 15:10:00+05:30,4906.0,2.2000000000007276,20.238307404524,-18.038307404523273,5.886539999999999,2.453,0.60238926,0.0196218,0.294294,1.1715427227239998,1.96218e-05,9.8109,SESSION_CLOSE,8.5,17.0,9809.8,-7.799999999999272,15.700000000000728,-0.9176470588234438,1.8470588235294974
LT,2026-08-06 09:20:00+05:30,2026-08-06 09:25:00+05:30,4063.0,4048.9,4091.2,2,2026-08-06 10:00:00+05:30,4048.9,-28.199999999999818,16.730241806883996,-44.930241806883814,4.867139999999999,2.0244500000000003,0.49807066,0.0162238,0.24378,0.9686611230839998,1.62238e-05,8.1119,STOP,14.099999999999909,28.199999999999818,8126.0,-18.0,7.0,-1.2765957446808593,0.4964539007092231
SUNPHARMA,2026-08-06 10:30:00+05:30,2026-08-06 10:35:00+05:30,1959.9,1955.1,1969.5000000000005,5,2026-08-06 10:50:00+05:30,1955.1,-24.00000000000091,20.187155548499998,-44.18715554850091,5.8725,2.4438750000000002,0.6009525,0.019575,0.293985,1.1687484734999998,1.9575e-05,9.7875,STOP,4.800000000000182,24.00000000000091,9799.5,-4.900000000000091,1.7999999999999545,-1.0208333333333135,0.3749999999999763
HINDUNILVR,2026-08-06 11:15:00+05:30,2026-08-06 11:20:00+05:30,2091.0,2085.6,2101.8,4,2026-08-06 12:55:00+05:30,2085.6,-21.600000000000364,17.228724911952,-38.828724911952364,5.01192,2.0856,0.51288648,0.0167064,0.25092000000000003,0.997475325552,1.6706400000000003e-05,8.3532,STOP,5.400000000000091,21.600000000000364,8364.0,-7.400000000000091,3.0,-1.370370370370364,0.5555555555555461
TITAN,2026-08-07 09:20:00+05:30,2026-08-07 09:25:00+05:30,4994.0,4965.1,5051.799999999999,2,2026-08-07 11:55:00+05:30,4965.1,-57.79999999999927,20.537416492675998,-78.33741649267527,5.97546,2.4825500000000003,0.6114887400000001,0.0199182,0.29964,1.189239634476,1.9918200000000002e-05,9.9591,STOP,28.899999999999636,57.79999999999927,9988.0,-38.5,9.0,-1.3321799307958646,0.3114186851211112
