symbol,signal_time,entry_time,exit_time,entry,stop,target,exit,quantity,signal_score,rsi,vol_ratio,ema9,ema21,ema50,vwap,close_vwap_distance_pct,close_ema21_distance_pct,ema21_ema50_distance_pct,previous_close_vwap_distance_pct,pullback_distance_pct,body_ratio,risk_per_share,entry_stop_distance_pct,mae,mfe,mae_r,mfe_r,net_r,gross_pnl,total_cost,net_pnl,reason,signal_hour,signal_minute
ICICIBANK,2026-08-03 10:55:00+05:30,2026-08-03 11:00:00+05:30,2026-08-03 11:40:00+05:30,1446.2,1444.5,1449.6,1444.5,6,,61.66827850771797,1.584299708879824,1445.7483018657283,1444.6693341952723,,1445.9797317305017,0.015233150552858,0.10595267501683095,,-0.03556056997784758,,0.6363636363637303,1.7000000000000455,0.11754943991149533,-2.2000000000000455,2.2999999999999545,-1.2941176470588156,1.3529411764705253,-2.7537069030740713,-10.200000000000273,17.887810411356,-28.087810411356276,STOP,10,55
ADANIENT,2026-08-03 11:45:00+05:30,2026-08-03 11:50:00+05:30,2026-08-03 15:00:00+05:30,3066.7,3052.0,3096.0999999999995,3052.0,3,,61.66267659408898,3.1582474866575647,3055.9694712153387,3054.8877948057298,,3056.8893177028453,0.29803768963414873,0.3637516642399924,,0.05352215432998238,0.07089809051145755,0.6503496503496548,14.699999999999818,0.47934261584112625,-17.09999999999991,10.300000000000182,-1.1632653061224572,0.7006802721088646,-1.4292009600181004,-44.099999999999454,18.927762336798,-63.02776233679745,STOP,11,45
ADANIENT,2026-08-04 09:25:00+05:30,2026-08-04 09:30:00+05:30,2026-08-04 10:00:00+05:30,3076.8,3068.9,3092.6000000000004,3068.9,3,,67.82205208411233,1.904217911679736,3066.964211517898,3064.0630524376643,3061.852501687066,3064.8116686956128,0.41726320201038275,0.44179729106964993,0.07214442760372856,0.31221299696411353,-0.19796218489467832,0.29007633587784376,7.900000000000091,0.25676027041081934,-9.300000000000182,14.699999999999818,-1.177215189873427,1.8607594936708416,-1.8022595071045482,-23.700000000000276,19.013550318378,-42.71355031837828,STOP,9,25
AXISBANK,2026-08-04 10:00:00+05:30,2026-08-04 10:05:00+05:30,2026-08-04 10:55:00+05:30,1258.1,1253.4,1267.4999999999995,1253.4,7,,61.002456604793096,1.985890479919454,1255.1177939176014,1254.0847180115386,1251.7537634256316,1255.4689773232099,0.19363462743407867,0.30422840926655714,0.18586898894700662,0.11297317235735009,0.1260740415212491,0.47500000000002274,4.699999999999818,0.37357920674030826,-5.599999999999909,2.2000000000000455,-1.1914893617021545,0.4680851063830065,-1.5510344962915106,-32.89999999999873,18.12903492799,-51.029034927988725,STOP,10,0
M&M,2026-08-04 10:55:00+05:30,2026-08-04 11:00:00+05:30,2026-08-04 11:05:00+05:30,3428.9,3424.1,3438.5000000000005,3424.1,2,,63.18472840450185,1.2094258446788637,3425.313803024244,3418.5680762908596,3410.896285741584,3423.3486224902645,0.16216220203998277,0.3022295732764989,0.22441532179752394,0.12464373186354509,-0.07495843373049722,0.6326530612244595,4.800000000000182,0.1399865846189793,-7.300000000000182,5.199999999999818,-1.5208333333333135,1.0833333333332544,-2.4724386259457773,-9.600000000000364,14.13541080908,-23.735410809080363,STOP,10,55
AXISBANK,2026-08-05 09:35:00+05:30,2026-08-05 09:40:00+05:30,2026-08-05 10:25:00+05:30,1254.8,1252.0,1260.4,1252.0,7,,58.56259879246133,1.5153895313531702,1253.6341735180442,1251.4238484973562,1250.4983954975023,1252.2821579071622,0.20106028636913964,0.26978481404982685,0.07395200282982423,0.10205749457088847,-0.07809625843559227,0.5172413793103287,2.7999999999999545,0.2231431303793397,-6.099999999999909,2.7999999999999545,-2.1785714285714315,1.0,-1.9232941138657296,-19.59999999999968,18.096564631768,-37.696564631767686,STOP,9,35
TITAN,2026-08-05 10:45:00+05:30,2026-08-05 10:50:00+05:30,2026-08-05 15:10:00+05:30,4904.9,4896.4,4921.9,4906.0,2,,58.540585561447784,1.3728618769735448,4901.013715707485,4899.310802332009,4896.166739362628,4900.95703133144,0.0906551238902175,0.12428682142582315,0.06417357657499621,0.015988610279751507,0.08400085051441031,0.6301369863012795,8.5,0.17329609166343862,-7.799999999999272,15.700000000000728,-0.9176470588234438,1.8470588235294974,-1.061076906148428,2.200000000000728,20.238307404524,-18.038307404523277,SESSION_CLOSE,10,45
KOTAKBANK,2026-08-06 09:35:00+05:30,2026-08-06 09:40:00+05:30,2026-08-06 11:45:00+05:30,397.45,396.4,399.55,396.4,25,,55.94969257576174,1.8445824026116175,397.17250429502366,396.8816785165009,396.4451353296542,397.13663272554004,0.028546163994473045,0.0928038514843562,0.10999328275330908,-0.12996360995338507,0.18032671453738372,0.7647058823529451,1.0500000000000114,0.26418417410995376,-1.0500000000000114,0.9499999999999886,-1.0,0.9047619047618841,-1.7796829427076106,-26.250000000000284,20.466677246075,-46.716677246075285,STOP,9,35
HINDUNILVR,2026-08-06 11:50:00+05:30,2026-08-06 11:55:00+05:30,2026-08-06 12:10:00+05:30,2089.0,2087.5,2092.0,2092.0,4,,55.11321866212066,1.8258365531821825,2089.337581430611,2087.6725025889787,2085.216666732973,2088.772082573244,0.010911550793766496,0.06358743573884676,0.11763511053386763,-0.010321050333149801,0.053411794948505696,0.2142857142856679,1.5,0.07180469123982766,-1.0,3.0,-0.6666666666666666,2.0,-0.8750956130533333,12.0,17.25057367832,-5.250573678319999,TARGET,11,50
AXISBANK,2026-08-06 12:10:00+05:30,2026-08-06 12:15:00+05:30,2026-08-06 13:20:00+05:30,1257.2,1255.1,1261.4000000000003,1255.1,7,,60.71887999635646,2.1347227656773167,1256.1958001379844,1255.507496396435,1253.9927562409407,1256.224780665553,0.10151203463534489,0.15870105190800143,0.12064763928865045,-0.0495158336158111,0.08135987476799172,0.7916666666666745,2.1000000000001364,0.16703786191537834,-2.2000000000000455,2.2000000000000455,-1.0476190476190013,1.0476190476190013,-2.2337967896732533,-14.700000000000957,18.136812808198,-32.83681280819896,STOP,12,10
